Category;Question;Option1;Option2;Option3;Option4;Correct
Test;Welches ist kein Säugetier?;Vogel;Hund;Katze;Maus;1
Test;Welches Land ist nicht in Europa?;USA;Deutschland;Frankreich;Spanien;1
Test;Welches ist keine Haupdtast?;Zürich;Paris;London;Berlin;1
Allgemeinwissen;Was ist die Hauptstadt von Frankreich?;Paris;Berlin;London;Rom;1
Allgemeinwissen;Wer hat die Relativitätstheorie entwickelt?;Albert Einstein;Isaac Newton;Galileo Galilei;Nikola Tesla;1
Allgemeinwissen;Welcher Planet ist der vierte in unserem Sonnensystem?;Mars;Jupiter;Venus;Saturn;1
Allgemeinwissen;Was ist die Hauptzutat in Sushi?;Reis;Nudeln;Kartoffeln;Fleisch;1
Allgemeinwissen;"Wer hat das Gemälde ""Die Mona Lisa"" gemalt?";Leonardo da Vinci;Vincent van Gogh;Pablo Picasso;Michelangelo;1
Allgemeinwissen;Welches ist das längste Fluss in der Welt?;Der Nil;Der Amazonas;Der Mississippi;Der Jangtsekiang;1
Allgemeinwissen;Was ist die chemische Formel für Wasser?;H2O;CO2;NaCl;O2;1
Allgemeinwissen;Welche Sprache wird in Brasilien gesprochen?;Portugiesisch;Spanisch;Englisch;Französisch;1
Allgemeinwissen;Wer hat die Schwerkraft entdeckt?;Sir Isaac Newton;Albert Einstein;Galileo Galilei;Johannes Kepler;1
Allgemeinwissen;Was ist die Hauptzutat in Schokolade?;Kakao;Erdnussbutter;Zuckerrohr;Milch;1
Allgemeinwissen;Was ist die Hauptkomponente von Luft?;Stickstoff;Sauerstoff;Kohlendioxid;Wasserstoff;1
Allgemeinwissen;"Wer schrieb ""Romeo und Julia""?";William Shakespeare;Charles Dickens;Jane Austen;Mark Twain;1
Allgemeinwissen;Welches ist das kleinste Säugetier der Welt?;Die Etruskerspitzmaus;Die Fledermaus;Das Eichhörnchen;Die Maus;1
Allgemeinwissen;Wie viele Kontinente gibt es?;7;5;6;8;1
Allgemeinwissen;Was ist die Hauptstadt von Spanien?;Madrid;Barcelona;Rom;Lissabon;1
Allgemeinwissen;Was ist die Hauptzutat in Pizza?;Teig;Tomatensauce;Käse;Salami;1
Allgemeinwissen;Wer hat die Glühbirne erfunden?;Thomas Edison;Nikola Tesla;Alexander Graham Bell;Benjamin Franklin;1
Allgemeinwissen;Welches ist das höchste Gebirge der Welt?;Der Mount Everest;Die Rocky Mountains;Die Alpen;Der Kilimandscharo;1
Allgemeinwissen;Was ist die Hauptstadt von Russland?;Moskau;Sankt Petersburg;Kiew;Berlin;1
Allgemeinwissen;Wer hat die Gravitationstheorie entwickelt?;Isaac Newton;Albert Einstein;Galileo Galilei;Johannes Kepler;1
Allgemeinwissen;Welches ist das größte Land der Welt?;Russland;Kanada;China;USA;1
Allgemeinwissen;Was ist die Hauptzutat in Bier?;Hopfen;Malz;Hefe;Wasser;1
